model,video_id,frame_idx,field,term,full_text
minicpm45,CLIP3_before_reboot_0704,47,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,48,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,49,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,5,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,50,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,51,action,메모리,RAM 슬롯에 메모리 장착
minicpm45,CLIP3_before_reboot_0704,52,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,53,action,메모리,RAM 슬롯에 메모리 장착
minicpm45,CLIP3_before_reboot_0704,54,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,6,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,7,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,8,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP3_before_reboot_0704,9,action,메모리,RAM 슬롯에 메모리 장착 중
minicpm45,CLIP4_reboot_bios,56,action,메모리,BIOS 정보 화면에서 메모리 정보를 확인 중
